OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
2079015484714432|37017950302|Census Tract 9503.02|171138642|1417064|G5020|S|20740177004052|37017950300|Census Tract 9503|228348199|2071050|G5020|S|170944318|1401575
2079015484714432|37017950302|Census Tract 9503.02|171138642|1417064|G5020|S|207403717629265|37051003002|Census Tract 30.02|57529331|948691|G5020|S|189969|15489
2079015484714432|37017950302|Census Tract 9503.02|171138642|1417064|G5020|S|20740178242054|37155961400|Census Tract 9614|160715741|308372|G5020|S|4355|0
2079015484714484|37017950401|Census Tract 9504.01|28841813|1185595|G5020|S|20740177004023|37017950400|Census Tract 9504|136972433|2001279|G5020|S|28841813|1185595
2079015484714486|37017950402|Census Tract 9504.02|108130620|815684|G5020|S|20740177004023|37017950400|Census Tract 9504|136972433|2001279|G5020|S|108130620|815684
2079015484714435|37017950501|Census Tract 9505.01|103903414|488870|G5020|S|20740177004033|37017950500|Census Tract 9505|218505583|591928|G5020|S|103903414|488870
2079015484714437|37017950502|Census Tract 9505.02|114586980|103058|G5020|S|20740177004033|37017950500|Census Tract 9505|218505583|591928|G5020|S|114586980|103058
2079015484714474|37017950601|Census Tract 9506.01|214262826|968593|G5020|S|20740177004043|37017950600|Census Tract 9506|504509495|2991894|G5020|S|214236815|968593
2079015484714474|37017950601|Census Tract 9506.01|214262826|968593|G5020|S|20740499870982|37047930500|Census Tract 9305|276064977|377177|G5020|S|26011|0
2079015484714472|37017950602|Census Tract 9506.02|289554769|2023301|G5020|S|20740177004043|37017950600|Census Tract 9506|504509495|2991894|G5020|S|289330989|2023301
2079015484714472|37017950602|Census Tract 9506.02|289554769|2023301|G5020|S|20740499870878|37047930100|Census Tract 9301|155387573|1552314|G5020|S|45446|0
2079015484714472|37017950602|Census Tract 9506.02|289554769|2023301|G5020|S|20740499870836|37047930400|Census Tract 9304|256502827|374779|G5020|S|178334|0
